Name,Strategy,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time,MAPE
HouseholdPowerConsumption1,tsfeatures,461.2269619406595,328.7803145233466,0.0,0.0,185.0,0.0,0.06082916259765625,0.06082916259765625,0.25531918431264716
HouseholdPowerConsumption1,tsfeatures + signature,41.007923614579674,32.06713322508787,0.0,0.0,479.0,0.0,0.13773107528686523,0.13773107528686523,0.05398687853609923
HouseholdPowerConsumption1,tsfeatures + signature + catch22,39.95561960802435,30.975831304277694,0.0,0.0,589.0,0.0,0.17268133163452148,0.17268133163452148,0.05365809415569227
HouseholdPowerConsumption1,tsfeatures + signature + catch22 + minirocket,40.70777852542693,31.894652544583245,0.0,0.0,1513.0,0.0,0.5326728820800781,0.5326728820800781,0.029843872147829003
HouseholdPowerConsumption1,tsfeatures + signature + catch22 + minirocket + tsfel,51.073002849947244,33.672644726389,0.0,0.0,3458.0,0.0,1.3236651420593262,1.3236651420593262,0.03279838921623217
HouseholdPowerConsumption1,tsfeatures + signature + catch22 + minirocket + tsfel + featuretools,44.371549114375775,31.839069063392394,0.0,0.0,3704.0,0.0,1.4564082622528076,1.4564082622528076,0.027288361382453098
HouseholdPowerConsumption2,tsfeatures,55.1955056964125,41.298402662875006,0.0,0.0,185.0,0.0,0.060417890548706055,0.060417890548706055,0.3266365791977477
HouseholdPowerConsumption2,tsfeatures + signature,52.979271361709465,39.63291524554828,0.0,0.0,479.0,0.0,0.18209481239318848,0.18209481239318848,0.281368652083477
HouseholdPowerConsumption2,tsfeatures + signature + catch22,52.23270556258187,38.815535991949524,0.0,0.0,589.0,0.0,0.22172141075134277,0.22172141075134277,0.2572674615575726
HouseholdPowerConsumption2,tsfeatures + signature + catch22 + minirocket,49.3983526770554,36.16329714369148,0.0,0.0,1513.0,0.0,0.5714926719665527,0.5714926719665527,0.20209520673678563
HouseholdPowerConsumption2,tsfeatures + signature + catch22 + minirocket + tsfel,47.84642457626436,35.65227661223175,0.0,0.0,3458.0,0.0,1.6886858940124512,1.6886858940124512,0.20447670282562067
HouseholdPowerConsumption2,tsfeatures + signature + catch22 + minirocket + tsfel + featuretools,49.48170302239465,37.6717609671045,0.0,0.0,3704.0,0.0,1.731234073638916,1.731234073638916,0.2193115345144611
BeijingPM25Quality,tsfeatures,133.8218430878,92.16127178975029,0.0,0.0,333.0,0.0,2.508899450302124,2.508899450302124,1.1857158202548
BeijingPM25Quality,tsfeatures + signature,87.14986374057017,55.071850237680124,0.0,0.0,1103.0,0.0,12.270522356033325,12.270522356033325,0.5379981196715203
BeijingPM25Quality,tsfeatures + signature + catch22,88.30390619596965,55.33585578477137,0.0,0.0,1301.0,0.0,14.201993465423584,14.201993465423584,0.5220916129338853
BeijingPM25Quality,tsfeatures + signature + catch22 + minirocket,87.9249775770181,55.440233754847206,0.0,0.0,2225.0,0.0,19.0551540851593,19.0551540851593,0.5359448502204854
BeijingPM25Quality,tsfeatures + signature + catch22 + minirocket + tsfel,87.27677335026685,55.13961965195162,0.0,0.0,3539.0,0.0,32.28181552886963,32.28181552886963,0.5464763972129385
BeijingPM25Quality,tsfeatures + signature + catch22 + minirocket + tsfel + featuretools,85.75976962642575,53.65792393060947,0.0,0.0,3981.0,0.0,38.6022412776947,38.6022412776947,0.5129308410296102
BeijingPM10Quality,tsfeatures,169.79483634692556,115.95166402535658,0.0,0.0,333.0,0.0,2.750960350036621,2.750960350036621,0.8913789296867272
BeijingPM10Quality,tsfeatures + signature,125.96364561970415,78.57628763836651,0.0,0.0,1103.0,0.0,13.413247108459473,13.413247108459473,0.501014817767968
BeijingPM10Quality,tsfeatures + signature + catch22,135.6711376127953,82.1802099835476,0.0,0.0,1301.0,0.0,15.586618423461914,15.586618423461914,0.5417320954526509
BeijingPM10Quality,tsfeatures + signature + catch22 + minirocket,144.23847585164765,85.98870839936609,0.0,0.0,2225.0,0.0,20.320358276367188,20.320358276367188,0.5730353652839786
BeijingPM10Quality,tsfeatures + signature + catch22 + minirocket + tsfel,127.0012339828966,77.06875990612193,0.0,0.0,3539.0,0.0,36.32554483413696,36.32554483413696,0.5077276785543282
BeijingPM10Quality,tsfeatures + signature + catch22 + minirocket + tsfel + featuretools,125.75217453293713,76.55061410459588,0.0,0.0,3981.0,0.0,43.210424184799194,43.210424184799194,0.519200757071647
Covid3Month,tsfeatures,0.06483189203937335,0.04459708648138359,0.0,0.0,37.0,0.0,0.0016522407531738281,0.0016522407531738281,40444486827764.81
Covid3Month,tsfeatures + signature,0.06132469222563562,0.04032603361201091,0.0,0.0,79.0,0.0,0.0026407241821289062,0.0026407241821289062,34235911925023.234
Covid3Month,tsfeatures + signature + catch22,0.06759518407036343,0.04878937518682148,0.0,0.0,101.0,0.0,0.003343820571899414,0.003343820571899414,55087079465901.945
Covid3Month,tsfeatures + signature + catch22 + minirocket,0.0543253799765033,0.03676020949468261,0.0,0.0,1025.0,0.0,0.04623818397521973,0.04623818397521973,50098186816664.14
Covid3Month,tsfeatures + signature + catch22 + minirocket + tsfel,0.05803088962527246,0.03697315544714449,0.0,0.0,1202.0,0.0,0.05504155158996582,0.05504155158996582,46681277019791.54
Covid3Month,tsfeatures + signature + catch22 + minirocket + tsfel + featuretools,0.05424513069190442,0.03467849348137369,0.0,0.0,1252.0,0.0,0.05788707733154297,0.05788707733154297,27721920044116.78
LiveFuelMoistureContent,tsfeatures,61.06706371263746,45.88406950590626,0.0,0.0,259.0,0.0,0.7878930568695068,0.7878930568695068,0.42083922947780206
