Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AustraliaRainfall,tsfel,3,8.451207781098006,2.7886956385641373,0.0,0.0,72.0,0.0,0.5419843196868896,0.5419843196868896
HouseholdPowerConsumption1,tsfel,5,67.32674319998716,28.781165010897354,0.0,0.0,7200.0,0.0,0.5950460433959961,0.5950460433959961
HouseholdPowerConsumption2,tsfel,5,166.12426049457665,53.68392939448631,0.0,0.0,7200.0,0.0,0.5668637752532959,0.5668637752532959
BeijingPM25Quality,tsfel,9,115.39682859602884,49.3193657574351,0.0,0.0,216.0,0.0,0.11764168739318848,0.11764168739318848
BeijingPM10Quality,tsfel,9,171.76047868479188,71.06835208208486,0.0,0.0,216.0,0.0,0.11364412307739258,0.11364412307739258
Covid3Month,tsfel,1,2813124187.252832,535282665.0605544,0.0,0.0,84.0,0.0,0.0018603801727294922,0.0018603801727294922
LiveFuelMoistureContent,tsfel,7,959.061089016653,236.1886684853916,0.0,0.0,2555.0,0.0,11.44390320777893,11.44390320777893
FloodModeling1,tsfel,1,889037825283.7069,67829893121.53576,0.0,0.0,266.0,0.0,0.013065099716186523,0.013065099716186523
FloodModeling2,tsfel,1,0.036646715425248166,0.01004554282272524,0.0,0.0,266.0,0.0,0.013380765914916992,0.013380765914916992
FloodModeling3,tsfel,1,0.5382381777282186,0.09749124226349634,0.0,0.0,266.0,0.0,0.012856721878051758,0.012856721878051758
AppliancesEnergy,tsfel,24,3.569211712287655,2.963168535023494,0.0,0.0,3456.0,0.0,0.013707399368286133,0.013707399368286133
BenzeneConcentration,tsfel,8,2.4821800486163332,1.9959886952435024,0.0,0.0,1920.0,0.0,4.846941232681274,4.846941232681274
NewsHeadlineSentiment,tsfel,3,0.14373516714326312,0.10984276040240551,0.0,0.0,432.0,0.0,2.221810817718506,2.221810817718506
NewsTitleSentiment,tsfel,3,0.13978023325051883,0.0987419540642358,0.0,0.0,432.0,0.0,2.1626510620117188,2.1626510620117188
BIDMC32RR,tsfel,2,18.007458642363435,12.93965083758799,0.0,0.0,8000.0,0.0,117.08595657348633,117.08595657348633
BIDMC32HR,tsfel,2,68.55477961420704,49.71848542402256,0.0,0.0,8000.0,0.0,118.16767382621765,118.16767382621765
BIDMC32SpO2,tsfel,2,17.10659857855221,12.08251254268114,0.0,0.0,8000.0,0.0,119.46301174163818,119.46301174163818
IEEEPPG,tsfel,5,159.07341574544694,107.82707645953155,0.0,0.0,5000.0,0.0,3.470736026763916,3.470736026763916
AcousticContaminationMadrid-no-missing,tsfel,1,8.190758888213223,6.0955731633273595,0.0,0.0,365.0,0.0,0.006040811538696289,0.006040811538696289
AluminiumConcentration,tsfel,1,591.1695937732452,444.9254038545054,0.0,0.0,2542.0,0.0,0.09295940399169922,0.09295940399169922
BarCrawl6min,tsfel,3,34.30887681225329,14.578382605563766,0.0,0.0,1080.0,0.0,0.007990837097167969,0.007990837097167969
BeijingIntAirportPM25Quality,tsfel,6,113.54833533564052,54.04280131344022,0.0,0.0,144.0,0.0,0.007630825042724609,0.007630825042724609
BinanceCoinSentiment,tsfel,2,0.4006549495567124,0.3059895829859171,0.0,0.0,48.0,0.0,0.0014023780822753906,0.0014023780822753906
BitcoinSentiment,tsfel,2,0.2605847765892703,0.18953846060630242,0.0,0.0,48.0,0.0,0.001453399658203125,0.001453399658203125
BoronConcentration,tsfel,1,3.06324361465881,2.384807589969658,0.0,0.0,2542.0,0.0,0.09123849868774414,0.09123849868774414
CalciumConcentration,tsfel,1,3496.9254407418043,2192.3233471129784,0.0,0.0,2307.0,0.0,0.08965873718261719,0.08965873718261719
CardanoSentiment,tsfel,2,0.4883730721364877,0.3857885161127133,0.0,0.0,48.0,0.0,0.0012409687042236328,0.0012409687042236328
ChilledWaterPredictor,tsfel,4,46364248143986.06,35131217535382.992,0.0,0.0,672.0,0.0,0.02331852912902832,0.02331852912902832
CopperConcentration,tsfel,1,3.1829032827946566,2.4378273785605242,0.0,0.0,2542.0,0.0,0.09164905548095703,0.09164905548095703
Covid19Andalusia,tsfel,1,0.07602031576924131,0.051525064430200176,0.0,0.0,91.0,0.0,0.0024404525756835938,0.0024404525756835938
DailyOilGasPrices,tsfel,2,2.26228620040224,1.8540713646194127,0.0,0.0,60.0,0.0,0.0015344619750976562,0.0015344619750976562
DailyTemperatureLatitude,tsfel,1,9.974475413655213,7.867131438035823,0.0,0.0,365.0,0.0,0.6654090881347656,0.6654090881347656
DhakaHourlyAirQuality,tsfel,1,12.560596175009675,10.04598303523878,0.0,0.0,24.0,0.0,0.0016908645629882812,0.0016908645629882812
ElectricityPredictor,tsfel,4,12423663512828.924,8702831786265.77,0.0,0.0,672.0,0.0,0.07159209251403809,0.07159209251403809
ElectricMotorTemperature,tsfel,6,12.120711687315527,9.280332148499246,0.0,0.0,360.0,0.0,0.350905179977417,0.350905179977417
EthereumSentiment,tsfel,2,0.2770341839435613,0.20154133585314615,0.0,0.0,48.0,0.0,0.0014910697937011719,0.0014910697937011719
GasSensorArrayAcetone,tsfel,1,0.4523521060932581,0.2811822656988878,0.0,0.0,7500.0,0.0,0.16081571578979492,0.16081571578979492
GasSensorArrayEthanol,tsfel,1,0.3599245104509973,0.24749056164244487,0.0,0.0,7500.0,0.0,0.16369342803955078,0.16369342803955078
HotwaterPredictor,tsfel,4,515431951737987.44,345591912070780.75,0.0,0.0,672.0,0.0,0.01431131362915039,0.01431131362915039
IronConcentration,tsfel,1,143.4487329576046,110.91423930813582,0.0,0.0,1716.0,0.0,0.06639719009399414,0.06639719009399414
LPGasMonitoringHomeActivity,tsfel,1,1.3743396987808474,1.0019374827597867,0.0,0.0,100.0,0.0,0.007304668426513672,0.007304668426513672
MadridPM10Quality-no-missing,tsfel,3,9.181744782573746,7.033402447312396,0.0,0.0,504.0,0.0,0.17478537559509277,0.17478537559509277
MagnesiumConcentration,tsfel,1,239.624805413044,183.78836999777235,0.0,0.0,3578.0,0.0,2.1665377616882324,2.1665377616882324
ManganeseConcentration,tsfel,1,181.18600285292692,145.6008359997837,0.0,0.0,1716.0,0.0,0.06594610214233398,0.06594610214233398
MethaneMonitoringHomeActivity,tsfel,1,0.5982094266062393,0.4054069618189128,0.0,0.0,100.0,0.0,0.007142782211303711,0.007142782211303711
MetroInterstateTrafficVolume,tsfel,4,1235.5123298869612,543.0851060637965,0.0,0.0,96.0,0.0,0.003965854644775391,0.003965854644775391
NaturalGasPricesSentiment,tsfel,1,0.3030006854176386,0.115507633346373,0.0,0.0,20.0,0.0,0.00095367431640625,0.00095367431640625
OccupancyDetectionLight,tsfel,3,565.6764149632304,267.25957193217505,0.0,0.0,180.0,0.0,0.00553441047668457,0.00553441047668457
ParkingBirmingham-equal-length,tsfel,1,0.2198308750635915,0.19056202940647649,0.0,0.0,14.0,0.0,0.0013110637664794922,0.0013110637664794922
PhosphorusConcentration,tsfel,1,45.857748977884874,32.843086325149116,0.0,0.0,3578.0,0.0,2.217479944229126,2.217479944229126
PotassiumConcentration,tsfel,1,419.8023241020015,319.53809069109195,0.0,0.0,3578.0,0.0,2.2357494831085205,2.2357494831085205
PrecipitationAndalusia-no-missing,tsfel,4,0.459528535923587,0.3179538207394709,0.0,0.0,1460.0,0.0,0.07249283790588379,0.07249283790588379
SierraNevadaMountainsSnow,tsfel,3,44.13679441528826,31.95352636746357,0.0,0.0,90.0,0.0,0.002689838409423828,0.002689838409423828
SodiumConcentration,tsfel,1,1371.2345350598973,989.9386691005777,0.0,0.0,1716.0,0.0,0.06356668472290039,0.06356668472290039
SolarRadiationAndalusia-no-missing,tsfel,2,1.37743539197219,1.026058265724587,0.0,0.0,730.0,0.0,0.06076407432556152,0.06076407432556152
SteamPredictor,tsfel,4,45940.866911596866,32350.863042218294,0.0,0.0,672.0,0.0,0.011136770248413086,0.011136770248413086
SulphurConcentration,tsfel,1,301.31885125464606,156.74542309845754,0.0,0.0,2307.0,0.0,0.08945155143737793,0.08945155143737793
TetuanEnergyConsumption,tsfel,5,2859.7505804866455,2332.464242520734,0.0,0.0,720.0,0.0,0.01650714874267578,0.01650714874267578
VentilatorPressure,tsfel,2,2.0720909575554822,1.6869302668909651,0.0,0.0,160.0,0.0,0.5257699489593506,0.5257699489593506
WaveDataTension,tsfel,1,9832.234045854291,477.9617893254158,0.0,0.0,57.0,0.0,0.0030524730682373047,0.0030524730682373047
WindTurbinePower,tsfel,1,54553.02950111471,13270.103196389078,0.0,0.0,144.0,0.0,0.005522012710571289,0.005522012710571289
ZincConcentration,tsfel,1,2.522025717244501,1.573259540567885,0.0,0.0,2307.0,0.0,0.08858323097229004,0.08858323097229004
