Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AppliancesEnergy,rocket,24,2.833329677581787,2.187713623046875,0.0,0.0,1000.0,0.0,0.013957738876342773,0.013957738876342773
AppliancesEnergy,minirocket,24,2.613762378692627,2.062941789627075,0.0,0.0,924.0,0.0,0.006500244140625,0.006500244140625
AppliancesEnergy,multirocket,24,2.5390872955322266,2.0392472743988037,0.0,0.0,1008.0,0.0,0.006775617599487305,0.006775617599487305
AppliancesEnergy,tsfel,24,2.3037874698638916,1.8426313400268555,0.0,0.0,4944.0,0.0,0.03022623062133789,0.03022623062133789
AppliancesEnergy,catch22,24,2.5516796112060547,2.1188392639160156,0.0,0.0,528.0,0.0,0.01879572868347168,0.01879572868347168
AppliancesEnergy,tsfeatures,24,3.2279086112976074,2.637059211730957,0.0,0.0,888.0,0.0,0.007985830307006836,0.007985830307006836
AppliancesEnergy,signature,24,2.662152051925659,2.0264406204223633,0.0,0.0,4550.0,0.0,0.02561640739440918,0.02561640739440918
AppliancesEnergy,intervals_c22,24,3.412188768386841,2.581395387649536,0.0,0.0,990.0,0.0,0.019507884979248047,0.019507884979248047
BenzeneConcentration,rocket,8,22.77079200744629,17.786476135253906,0.0,0.0,1000.0,0.0,0.22672605514526367,0.22672605514526367
BenzeneConcentration,minirocket,8,18.8660945892334,14.818891525268555,0.0,0.0,924.0,0.0,0.1956770420074463,0.1956770420074463
BenzeneConcentration,multirocket,8,11.086959838867188,8.463325500488281,0.0,0.0,1008.0,0.0,0.22030210494995117,0.22030210494995117
BenzeneConcentration,tsfel,8,2712.80712890625,259.59423828125,0.0,0.0,2032.0,0.0,1.2453453540802002,1.2453453540802002
BenzeneConcentration,catch22,8,27.736530303955078,20.998117446899414,0.0,0.0,176.0,0.0,0.016347646713256836,0.016347646713256836
BenzeneConcentration,tsfeatures,8,418453.8125,83691.6796875,0.0,0.0,296.0,0.0,0.036501407623291016,0.036501407623291016
BenzeneConcentration,signature,8,0.17805936932563782,0.13511410355567932,0.0,0.0,630.0,0.0,0.09976077079772949,0.09976077079772949
BenzeneConcentration,intervals_c22,8,20.014556884765625,15.089651107788086,0.0,0.0,990.0,0.0,0.2257530689239502,0.2257530689239502
BeijingPM10Quality,rocket,9,123.78105926513672,87.84912109375,0.0,0.0,1000.0,0.0,0.6165034770965576,0.6165034770965576
BeijingPM10Quality,minirocket,9,143.6007080078125,67.41092681884766,0.0,0.0,924.0,0.0,0.5397133827209473,0.5397133827209473
BeijingPM10Quality,multirocket,9,103.08061981201172,62.39900588989258,0.0,0.0,1008.0,0.0,0.5927309989929199,0.5927309989929199
BeijingPM10Quality,tsfel,9,3041.5390625,235.56336975097656,0.0,0.0,1314.0,0.0,0.9357597827911377,0.9357597827911377
BeijingPM10Quality,catch22,9,107.31983947753906,64.26295471191406,0.0,0.0,198.0,0.0,0.053177595138549805,0.053177595138549805
BeijingPM10Quality,tsfeatures,9,122.75283813476562,85.41883087158203,0.0,0.0,333.0,0.0,0.09557652473449707,0.09557652473449707
BeijingPM10Quality,signature,9,6340.56640625,364.5513000488281,0.0,0.0,770.0,0.0,0.39478325843811035,0.39478325843811035
BeijingPM10Quality,intervals_c22,9,143.78839111328125,75.78234100341797,0.0,0.0,990.0,0.0,0.5930042266845703,0.5930042266845703
BeijingPM25Quality,rocket,9,92.47566223144531,66.37030792236328,0.0,0.0,1000.0,0.0,0.6307163238525391,0.6307163238525391
BeijingPM25Quality,minirocket,9,71.63521575927734,44.18071365356445,0.0,0.0,924.0,0.0,0.5421380996704102,0.5421380996704102
BeijingPM25Quality,multirocket,9,69.8182144165039,41.842586517333984,0.0,0.0,1008.0,0.0,0.5825204849243164,0.5825204849243164
BeijingPM25Quality,tsfel,9,1015.7977294921875,112.08585357666016,0.0,0.0,1314.0,0.0,0.9388964176177979,0.9388964176177979
BeijingPM25Quality,catch22,9,74.61361694335938,46.50334930419922,0.0,0.0,198.0,0.0,0.0552065372467041,0.0552065372467041
BeijingPM25Quality,tsfeatures,9,94.91363525390625,66.57621002197266,0.0,0.0,333.0,0.0,0.09163403511047363,0.09163403511047363
BeijingPM25Quality,signature,9,2229.974365234375,148.4866485595703,0.0,0.0,770.0,0.0,0.39223217964172363,0.39223217964172363
BeijingPM25Quality,intervals_c22,9,82.07134246826172,52.420501708984375,0.0,0.0,990.0,0.0,0.5929312705993652,0.5929312705993652
BIDMC32HR,rocket,2,7.318727016448975,5.320502281188965,0.0,0.0,1000.0,0.0,0.3077540397644043,0.3077540397644043
BIDMC32HR,minirocket,2,8.230888366699219,6.539360046386719,0.0,0.0,924.0,0.0,0.2757999897003174,0.2757999897003174
BIDMC32HR,multirocket,2,13.16089916229248,9.386568069458008,0.0,0.0,1008.0,0.0,0.2893369197845459,0.2893369197845459
BIDMC32HR,tsfel,2,26.810134887695312,13.442277908325195,0.0,0.0,778.0,0.0,0.19610929489135742,0.19610929489135742
BIDMC32HR,catch22,2,15.188337326049805,11.939841270446777,0.0,0.0,44.0,0.0,0.005424976348876953,0.005424976348876953
BIDMC32HR,tsfeatures,2,12.45744514465332,8.870884895324707,0.0,0.0,74.0,0.0,0.010495424270629883,0.010495424270629883
BIDMC32HR,signature,2,14.380970001220703,11.204172134399414,0.0,0.0,84.0,0.0,0.010001659393310547,0.010001659393310547
BIDMC32HR,intervals_c22,2,12.493424415588379,9.770387649536133,0.0,0.0,990.0,0.0,0.3050048351287842,0.3050048351287842
