Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AustraliaRainfall,tsfel,3,8.6631441116333,2.8155598640441895,0.0,0.0,72.0,0.0,0.0004799365997314453,0.0004799365997314453
Covid3Month,tsfel,1,0.04471992701292038,0.03383985534310341,0.0,0.0,84.0,0.0,0.0001494884490966797,0.0001494884490966797
LiveFuelMoistureContent,tsfel,7,41.134639739990234,31.248083114624023,0.0,0.0,2555.0,0.0,0.0003046989440917969,0.0003046989440917969
FloodModeling1,tsfel,1,0.01886332966387272,0.014414040371775627,0.0,0.0,266.0,0.0,0.00018072128295898438,0.00018072128295898438
FloodModeling2,tsfel,1,0.018547993153333664,0.004524612333625555,0.0,0.0,266.0,0.0,0.00018143653869628906,0.00018143653869628906
FloodModeling3,tsfel,1,0.022793730720877647,0.016414066776633263,0.0,0.0,266.0,0.0,0.00017976760864257812,0.00017976760864257812
AppliancesEnergy,tsfel,24,3.454899311065674,2.787015199661255,0.0,0.0,3456.0,0.0,0.00022554397583007812,0.00022554397583007812
NewsHeadlineSentiment,tsfel,3,0.1422484666109085,0.1089707612991333,0.0,0.0,432.0,0.0,0.0003917217254638672,0.0003917217254638672
NewsTitleSentiment,tsfel,3,0.13810528814792633,0.09771041572093964,0.0,0.0,432.0,0.0,0.00035119056701660156,0.00035119056701660156
BIDMC32RR,tsfel,2,3.4967525005340576,2.660461664199829,0.0,0.0,8000.0,0.0,0.0003199577331542969,0.0003199577331542969
BIDMC32HR,tsfel,2,14.110198974609375,10.436650276184082,0.0,0.0,8000.0,0.0,0.00028324127197265625,0.00028324127197265625
BIDMC32SpO2,tsfel,2,4.802914142608643,3.495105743408203,0.0,0.0,8000.0,0.0,0.0002827644348144531,0.0002827644348144531
IEEEPPG,tsfel,5,37.264095306396484,29.292964935302734,0.0,0.0,5000.0,0.0,0.00033164024353027344,0.00033164024353027344
