Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
Covid3Month,rocket,1,0.04444658742595625,0.03330952537811096,17911219163811.31,0.0,0.0,1000.0,0.0,0.018686294555664062,0.018686294555664062
Covid3Month,minirocket,1,0.0463380350469412,0.035269412131403895,39720966476566.98,0.0,0.0,924.0,0.0,0.004839420318603516,0.004839420318603516
Covid3Month,multirocket,1,0.03908298700123993,0.030904650382025712,42082185006481.85,0.0,0.0,1008.0,0.0,0.004602193832397461,0.004602193832397461
Covid3Month,tsfel,1,0.03989821490274571,0.02885222743773849,20941393287286.637,0.0,0.0,177.0,0.0,0.003228425979614258,0.003228425979614258
Covid3Month,catch22,1,0.04876542812283771,0.03417428058804491,39790295266317.02,0.0,0.0,22.0,0.0,0.001184225082397461,0.001184225082397461
Covid3Month,tsfeatures,1,0.043070942320125344,0.03220812770475491,24814965016792.41,0.0,0.0,37.0,0.0,0.001348733901977539,0.001348733901977539
Covid3Month,featuretools,1,0.04237414504346651,0.03221624186196096,33465913912238.887,0.0,0.0,50.0,0.0,0.0016613006591796875,0.0016613006591796875
Covid3Month,signature,1,0.0427987848067203,0.03205510759651409,30779234416515.1,0.0,0.0,42.0,0.0,0.001321554183959961,0.001321554183959961
Covid3Month,intervals_c22,1,0.06767612079402059,0.048943381541806365,43723087903278.1,0.0,0.0,990.0,0.0,0.005128383636474609,0.005128383636474609
FloodModeling1,rocket,1,0.016684992844187847,0.01284499327887337,0.02898174733775741,0.0,0.0,1000.0,0.0,0.04931020736694336,0.04931020736694336
FloodModeling1,minirocket,1,0.011123784157512936,0.008267836754711813,0.01855950103716352,0.0,0.0,924.0,0.0,0.04432821273803711,0.04432821273803711
FloodModeling1,multirocket,1,0.0073569472744991985,0.005443732704976009,0.012247442564361928,0.0,0.0,1008.0,0.0,0.0488886833190918,0.0488886833190918
FloodModeling1,tsfel,1,0.0045668248623320605,0.003377298167172088,0.007653627516110223,0.0,0.0,267.0,0.0,0.022989988327026367,0.022989988327026367
FloodModeling1,catch22,1,0.006551063405480888,0.0050318001212856615,0.011350672923720476,0.0,0.0,22.0,0.0,0.0015592575073242188,0.0015592575073242188
FloodModeling1,tsfeatures,1,0.017087545741590365,0.012385369353919123,0.027787431207199866,0.0,0.0,37.0,0.0,0.0018506050109863281,0.0018506050109863281
FloodModeling1,featuretools,1,0.005600953828135534,0.003849758554330959,0.008743006069658187,0.0,0.0,50.0,0.0,0.002223968505859375,0.002223968505859375
FloodModeling1,signature,1,0.017328169668931737,0.013361149992409976,0.029893277877478853,0.0,0.0,42.0,0.0,0.0019037723541259766,0.0019037723541259766
FloodModeling1,intervals_c22,1,58148215658.23375,4091294176.7663116,9152783456.677649,0.0,0.0,990.0,0.0,0.04518437385559082,0.04518437385559082
FloodModeling2,rocket,1,0.012220106249449315,0.006604159605331828,0.027083216785295405,0.0,0.0,1000.0,0.0,0.04348444938659668,0.04348444938659668
FloodModeling2,minirocket,1,0.007583044824908476,0.005065163679687036,0.021422034849179813,0.0,0.0,924.0,0.0,0.04609179496765137,0.04609179496765137
FloodModeling2,multirocket,1,0.005317526543644782,0.0022760245380800603,0.00921705190508756,0.0,0.0,1008.0,0.0,0.0426640510559082,0.0426640510559082
FloodModeling2,tsfel,1,0.0025962380491890984,0.0014123325756359613,0.0058508801141304466,0.0,0.0,267.0,0.0,0.02275824546813965,0.02275824546813965
FloodModeling2,catch22,1,0.0056860081131654755,0.0031486601372179264,0.01282978043496522,0.0,0.0,22.0,0.0,0.0014333724975585938,0.0014333724975585938
FloodModeling2,tsfeatures,1,0.014552516847919427,0.004800310416965277,0.017932868692590007,0.0,0.0,37.0,0.0,0.0017290115356445312,0.0017290115356445312
FloodModeling2,featuretools,1,0.003435993625303803,0.001926405534391917,0.007982568773814206,0.0,0.0,50.0,0.0,0.002173900604248047,0.002173900604248047
FloodModeling2,signature,1,0.018595340954096286,0.0047270527287413015,0.016556472411903642,0.0,0.0,42.0,0.0,0.0018389225006103516,0.0018389225006103516
FloodModeling2,intervals_c22,1,93342266713.31032,6746849529.444451,16708561465.883232,0.0,0.0,990.0,0.0,0.04372215270996094,0.04372215270996094
FloodModeling3,rocket,1,0.02209943713406751,0.016955209286185803,0.04111379203283534,0.0,0.0,1000.0,0.0,0.03591752052307129,0.03591752052307129
FloodModeling3,minirocket,1,0.007797848128557523,0.004976464953960269,0.012085528541827728,0.0,0.0,924.0,0.0,0.03506302833557129,0.03506302833557129
FloodModeling3,multirocket,1,0.008253536760905532,0.005842865619431604,0.014131297299494841,0.0,0.0,1008.0,0.0,0.035836219787597656,0.035836219787597656
FloodModeling3,tsfel,1,0.0052445865682425605,0.0035771149313484824,0.008782642483084234,0.0,0.0,267.0,0.0,0.02238631248474121,0.02238631248474121
FloodModeling3,catch22,1,0.0065579565789541565,0.004731998314711377,0.011587082682177965,0.0,0.0,22.0,0.0,0.0012614727020263672,0.0012614727020263672
FloodModeling3,tsfeatures,1,0.019232639478952065,0.01384022197377134,0.03328699271199955,0.0,0.0,37.0,0.0,0.0016429424285888672,0.0016429424285888672
FloodModeling3,featuretools,1,0.005558868275659029,0.0035870718043868924,0.008847136396791428,0.0,0.0,50.0,0.0,0.002112150192260742,0.002112150192260742
FloodModeling3,signature,1,0.020116435152564022,0.01400604107735421,0.0336505239924914,0.0,0.0,42.0,0.0,0.001829385757446289,0.001829385757446289
